frame,time_sec,vo_x,vo_y,vo_theta_deg,speed_kmh,steering_deg,action,alert_level,min_obs_dist,features
130,4.34,-0.32,8.5,-3.22,6,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,46
131,4.37,-0.33,8.58,-3.24,7,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,46
132,4.4,-0.33,8.64,-3.24,7,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,46
133,4.44,-0.33,8.64,-3.21,5,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,45
134,4.47,-0.34,8.7,-3.21,5,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,45
135,4.5,-0.34,8.78,-3.21,6,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,45
136,4.54,-0.34,8.86,-3.21,7,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,45
137,4.57,-0.34,8.87,-3.21,5,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,44
138,4.6,-0.35,8.96,-3.2,6,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,44
139,4.64,-0.35,9.02,-3.19,7,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,44
140,4.67,-0.36,9.12,-3.19,8,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,5.9,44
141,4.7,-0.36,9.18,-3.19,7,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,5.9,44
142,4.74,-0.37,9.3,-3.19,9,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,5.9,44
143,4.77,-0.38,9.42,-3.17,10,10.9,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,42
144,4.8,-0.38,9.56,-3.2,11,8.5,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,41
145,4.84,-0.38,9.56,-3.25,8,6.6,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,41
146,4.87,-0.39,9.61,-3.34,8,5.2,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,41
147,4.9,-0.39,9.74,-3.38,9,4.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,41
148,4.94,-0.4,9.9,-3.46,12,3.1,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,40
149,4.97,-0.42,10.12,-3.51,15,2.4,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,40
150,5.01,-0.42,10.13,-2.43,11,1.8,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,36
151,5.04,-0.42,10.22,-2.44,11,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,153
152,5.07,-0.42,10.28,-2.48,10,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,144
153,5.11,-0.43,10.38,-2.48,10,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,137
154,5.14,-0.43,10.47,-2.48,10,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,129
155,5.17,-0.44,10.54,-2.48,9,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,123
156,5.21,-0.44,10.62,-2.48,9,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,120
157,5.24,-0.44,10.72,-2.43,9,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,120
158,5.27,-0.45,10.81,-2.46,10,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,114
159,5.31,-0.45,10.9,-2.5,10,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,110
160,5.34,-0.45,10.94,-2.53,8,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,101
161,5.37,-0.46,11.03,-2.57,9,1.8,STEER LEFT (CLEAR CORRIDOR),CAUTION,8.8,100
